,iso_3,continent,country,year,rate,gdp,oecd,eu27,gseven,gtwenty,brics
5418,KAZ,AS,Kazakhstan,2022,20,223.2778017,0,0,0,0,0
4988,KEN,AF,Kenya,2022,30,86.38738266,0,0,0,0,0
5031,KGZ,AS,Kyrgyzstan,2022,10,7.689459238,0,0,0,0,0
5074,KHM,AS,Cambodia,2022,20,24.63444853,0,0,0,0,0
5203,KNA,NO,Saint Kitts and Nevis,2022,33,0.967646663,0,0,0,0,0
5289,KOR,AS,Republic of Korea,2022,27.5,1726.831006,1,0,0,1,0
5332,KWT,AS,Kuwait,2022,15,113.6936325,0,0,0,0,0
5461,LAO,AS,Lao People's Democratic Republic,2022,20,19.87034889,0,0,0,0,0
5504,LBN,AS,Lebanon,2022,17,34.66607379,0,0,0,0,0
5676,LBR,AF,Liberia,2022,25,3.29224865,0,0,0,0,0
5891,LBY,AF,Libya,2022,20,39.78831182,0,0,0,0,0
5547,LCA,NO,Saint Lucia,2022,30,1.736433326,0,0,0,0,0
5633,LKA,AS,Sri Lanka,2022,24,96.25197502,0,0,0,0,0
5719,LSO,AF,Lesotho,2022,25,2.558268791,0,0,0,0,0
5762,LTU,EU,Lithuania,2022,15,51.43267183,1,1,0,0,0
5805,LUX,EU,Luxembourg,2022,24.94,70.98750767,1,1,0,0,0
5848,LVA,EU,Latvia,2022,20,31.86248766,1,1,0,0,0
6407,MAC,AS,"China, Macao Special Administrative Region",2022,12,39.6196993,0,0,0,0,0
5934,MAR,AF,Morocco,2022,31,111.950907,0,0,0,0,0
6020,MDA,EU,Republic of Moldova,2022,12,9.262198477,0,0,0,0,0
6149,MDG,AF,Madagascar,2022,20,13.79040458,0,0,0,0,0
6708,MDV,AS,Maldives,2022,15,4.759080236,0,0,0,0,0
6794,MEX,NO,Mexico,2022,30,1252.948592,1,0,0,1,0
6235,MKD,EU,The former Yugoslav Republic of Macedonia,2022,10,11.49970399,0,0,0,0,0
6278,MLI,AF,Mali,2022,30,17.22059881,0,0,0,0,0
6622,MLT,EU,Malta,2022,35,13.86331281,0,1,0,0,0
6321,MMR,AS,Myanmar,2022,22,78.86345172,0,0,0,0,0
6364,MNG,AS,Mongolia,2022,25,15.23350057,0,0,0,0,0
6880,MOZ,AF,Mozambique,2022,32,18.95676861,0,0,0,0,0
6536,MRT,AF,Mauritania,2022,25,7.430299746,0,0,0,0,0
6665,MUS,AF,Mauritius,2022,15,12.63667547,0,0,0,0,0
6751,MWI,AF,Malawi,2022,30,7.813681501,0,0,0,0,0
6837,MYS,AS,Malaysia,2022,24,371.4092415,0,0,0,0,0
6923,NAM,AF,Namibia,2022,32,10.68577706,0,0,0,0,0
7009,NER,AF,Niger,2022,30,13.68041125,0,0,0,0,0
7095,NGA,AF,Nigeria,2022,30,526.871292,0,0,0,0,0
7138,NIC,NO,Nicaragua,2022,30,13.2016892,0,0,0,0,0
7181,NLD,EU,Netherlands,2022,25.8,875.5503931,1,1,0,0,0
7224,NOR,EU,Norway,2022,22,424.4750393,1,0,0,0,0
7267,NPL,AS,Nepal,2022,25,26.95171792,0,0,0,0,0
7396,NZL,OC,New Zealand,2022,28,209.1953084,1,0,0,0,0
7439,OMN,AS,Oman,2022,15,73.24491231,0,0,0,0,0
7697,PAK,AS,Pakistan,2022,29,335.2685445,0,0,0,0,0
7482,PAN,NO,Panama,2022,25,62.01248694,0,0,0,0,0
7525,PER,SA,Peru,2022,29.5,217.6383034,0,0,0,0,0
7654,PHL,AS,Philippines,2022,25,409.2284859,0,0,0,0,0
7611,PNG,OC,Papua New Guinea,2022,30,25.38919229,0,0,0,0,0
7740,POL,EU,Poland,2022,19,608.644531,1,1,0,0,0
7869,PRI,NO,Puerto Rico,2022,37.5,96.27562222,0,0,0,0,0
7955,PRT,EU,Portugal,2022,31.5,222.1519494,1,1,0,0,0
8041,PRY,SA,Paraguay,2022,10,43.64329165,0,0,0,0,0
8084,QAT,AS,Qatar,2022,10,177.1860268,0,0,0,0,0
8170,ROU,EU,Romania,2022,16,233.2391989,0,1,0,0,0
8256,RUS,EU,Russian Federation,2022,20,1498.073898,0,0,0,1,1
8299,RWA,AF,Rwanda,2022,30,11.79472149,0,0,0,0,0
8342,SAU,AS,Saudi Arabia,2022,20,705.4392585,0,0,0,1,0
8471,SDN,AF,Sudan,2022,35,76.12917884,0,0,0,0,0
8858,SEN,AF,Senegal,2022,30,25.1500956,0,0,0,0,0
8557,SGP,AS,Singapore,2022,17,360.4086948,0,0,0,0,0
8385,SLB,OC,Solomon Islands,2022,30,1.324629087,0,0,0,0,0
